[2024-03-29 23:25:30.289] [PSS] [error] [5304|13940]transport_client_tcp2.cpp:106 HandleConnect: connected error= Подключение не установлено, т.к. конечный компьютер отверг запрос на подключение, this= 0x1ab4019e5c0
[2024-03-29 23:25:30.289] [PSS] [debug] [5304|13940]streaming_driver_interface_impl.cpp:248 NotifyConnectResult: network connect to service result= 10061, this= 0x1abcd0c1520
[2024-03-29 23:25:30.289] [PSS] [error] [5304|13940]streaming_driver_interface_impl.cpp:250 NotifyConnectResult: connect to service network error= 10061, this= 0x1abcd0c1520
[2024-03-29 23:26:34.544] [PSS] [debug] [5304|15032]streaming_driver_interface_impl.cpp:25 StreamingDriverInterfaceImpl: callback= 0x1aa1aaabee0, this= 0x1abc3a55c50
[2024-03-29 23:26:34.544] [PSS] [debug] [5304|15032]streaming_driver_interface_impl.cpp:30 ~StreamingDriverInterfaceImpl: called, this= 0x1abcd0c1520
[2024-03-29 23:26:34.544] [PSS] [debug] [5304|15032]transport_client_tcp2.cpp:71 Stop: called, this= 0x1ab4019e5c0
[2024-03-29 23:26:34.545] [PSS] [debug] [5304|15032]streaming_driver_interface_impl.cpp:95 SetTrackingOrigin: tracking origin= FloorLevel, this= 0x1abc3a55c50
[2024-03-29 23:26:34.545] [PSS] [debug] [5304|15032]streaming_driver_interface_impl.cpp:39 ConnectToService: try to connect to service, this= 0x1abc3a55c50
[2024-03-29 23:26:34.545] [PSS] [error] [5304|9996]streaming_driver_interface_impl.cpp:572 InvokeSetTrackingOrigin: "invalid media session", !media_session_, this= 0x1abc3a55c50
[2024-03-29 23:26:34.545] [PSS] [debug] [5304|9996]streaming_driver_interface_impl.cpp:469 InvokeConnectToService: connect to service through the network, port= 54000, this= 0x1abc3a55c50
[2024-03-29 23:26:34.546] [PSS] [debug] [5304|9996]transport_client_tcp2.cpp:34 Start: buffer size(send\recv): 1048576\1048576, this= 0x1ab401a0030
[2024-03-29 23:26:34.546] [PSS] [info] [5304|9996]transport_client_tcp2.cpp:58 Start: server= 127.0.0.1:54000, local=0.0.0.0:0, this= 0x1ab401a0030
[2024-03-29 23:26:34.546] [PSS] [debug] [5304|9996]transport_data_receiver_raw.cpp:34 UpdateConfig: enable_channel= 1, enable_packet= 1, sink= 0x1ab401a0040, this= 0x1abc3f6e150
[2024-03-29 23:26:36.551] [PSS] [error] [5304|19684]transport_client_tcp2.cpp:106 HandleConnect: connected error= Подключение не установлено, т.к. конечный компьютер отверг запрос на подключение, this= 0x1ab401a0030
[2024-03-29 23:26:36.551] [PSS] [debug] [5304|19684]streaming_driver_interface_impl.cpp:248 NotifyConnectResult: network connect to service result= 10061, this= 0x1abc3a55c50
[2024-03-29 23:26:36.551] [PSS] [error] [5304|19684]streaming_driver_interface_impl.cpp:250 NotifyConnectResult: connect to service network error= 10061, this= 0x1abc3a55c50
[2024-03-29 23:27:44.318] [PSS] [debug] [5304|15032]streaming_driver_interface_impl.cpp:25 StreamingDriverInterfaceImpl: callback= 0x1aa104e8ce0, this= 0x1aa10fce0e0
[2024-03-29 23:27:44.318] [PSS] [debug] [5304|15032]streaming_driver_interface_impl.cpp:30 ~StreamingDriverInterfaceImpl: called, this= 0x1abc3a55c50
[2024-03-29 23:27:44.318] [PSS] [debug] [5304|15032]transport_client_tcp2.cpp:71 Stop: called, this= 0x1ab401a0030
[2024-03-29 23:27:44.320] [PSS] [debug] [5304|15032]streaming_driver_interface_impl.cpp:95 SetTrackingOrigin: tracking origin= FloorLevel, this= 0x1aa10fce0e0
[2024-03-29 23:27:44.320] [PSS] [debug] [5304|15032]streaming_driver_interface_impl.cpp:39 ConnectToService: try to connect to service, this= 0x1aa10fce0e0
[2024-03-29 23:27:44.320] [PSS] [error] [5304|7504]streaming_driver_interface_impl.cpp:572 InvokeSetTrackingOrigin: "invalid media session", !media_session_, this= 0x1aa10fce0e0
[2024-03-29 23:27:44.321] [PSS] [debug] [5304|7504]streaming_driver_interface_impl.cpp:469 InvokeConnectToService: connect to service through the network, port= 54000, this= 0x1aa10fce0e0
[2024-03-29 23:27:44.321] [PSS] [debug] [5304|7504]transport_client_tcp2.cpp:34 Start: buffer size(send\recv): 1048576\1048576, this= 0x1ab4019ee90
[2024-03-29 23:27:44.321] [PSS] [info] [5304|7504]transport_client_tcp2.cpp:58 Start: server= 127.0.0.1:54000, local=0.0.0.0:0, this= 0x1ab4019ee90
[2024-03-29 23:27:44.321] [PSS] [debug] [5304|7504]transport_data_receiver_raw.cpp:34 UpdateConfig: enable_channel= 1, enable_packet= 1, sink= 0x1ab4019eea0, this= 0x1aa10914550
[2024-03-29 23:27:46.326] [PSS] [error] [5304|2004]transport_client_tcp2.cpp:106 HandleConnect: connected error= Подключение не установлено, т.к. конечный компьютер отверг запрос на подключение, this= 0x1ab4019ee90
[2024-03-29 23:27:46.326] [PSS] [debug] [5304|2004]streaming_driver_interface_impl.cpp:248 NotifyConnectResult: network connect to service result= 10061, this= 0x1aa10fce0e0
[2024-03-29 23:27:46.326] [PSS] [error] [5304|2004]streaming_driver_interface_impl.cpp:250 NotifyConnectResult: connect to service network error= 10061, this= 0x1aa10fce0e0
[2024-03-29 23:33:40.673] [PSS] [debug] [5304|15032]streaming_driver_interface_impl.cpp:25 StreamingDriverInterfaceImpl: callback= 0x1aa104e9a50, this= 0x1abca7d5070
[2024-03-29 23:33:40.673] [PSS] [debug] [5304|15032]streaming_driver_interface_impl.cpp:30 ~StreamingDriverInterfaceImpl: called, this= 0x1aa10fce0e0
[2024-03-29 23:33:40.673] [PSS] [debug] [5304|15032]transport_client_tcp2.cpp:71 Stop: called, this= 0x1ab4019ee90
[2024-03-29 23:33:40.674] [PSS] [debug] [5304|15032]streaming_driver_interface_impl.cpp:95 SetTrackingOrigin: tracking origin= FloorLevel, this= 0x1abca7d5070
[2024-03-29 23:33:40.674] [PSS] [debug] [5304|15032]streaming_driver_interface_impl.cpp:39 ConnectToService: try to connect to service, this= 0x1abca7d5070
[2024-03-29 23:33:40.674] [PSS] [error] [5304|20260]streaming_driver_interface_impl.cpp:572 InvokeSetTrackingOrigin: "invalid media session", !media_session_, this= 0x1abca7d5070
[2024-03-29 23:33:40.674] [PSS] [debug] [5304|20260]streaming_driver_interface_impl.cpp:469 InvokeConnectToService: connect to service through the network, port= 54000, this= 0x1abca7d5070
[2024-03-29 23:33:40.675] [PSS] [debug] [5304|20260]transport_client_tcp2.cpp:34 Start: buffer size(send\recv): 1048576\1048576, this= 0x1aa19b3d420
[2024-03-29 23:33:40.675] [PSS] [info] [5304|20260]transport_client_tcp2.cpp:58 Start: server= 127.0.0.1:54000, local=0.0.0.0:0, this= 0x1aa19b3d420
[2024-03-29 23:33:40.675] [PSS] [debug] [5304|20260]transport_data_receiver_raw.cpp:34 UpdateConfig: enable_channel= 1, enable_packet= 1, sink= 0x1aa19b3d430, this= 0x1ab3fa76720
[2024-03-29 23:33:42.684] [PSS] [error] [5304|15920]transport_client_tcp2.cpp:106 HandleConnect: connected error= Подключение не установлено, т.к. конечный компьютер отверг запрос на подключение, this= 0x1aa19b3d420
[2024-03-29 23:33:42.684] [PSS] [debug] [5304|15920]streaming_driver_interface_impl.cpp:248 NotifyConnectResult: network connect to service result= 10061, this= 0x1abca7d5070
[2024-03-29 23:33:42.684] [PSS] [error] [5304|15920]streaming_driver_interface_impl.cpp:250 NotifyConnectResult: connect to service network error= 10061, this= 0x1abca7d5070
[2024-03-29 23:34:34.472] [PSS] [debug] [5304|15032]streaming_driver_interface_impl.cpp:25 StreamingDriverInterfaceImpl: callback= 0x1ab48196ef0, this= 0x1abcd69e7f0
[2024-03-29 23:34:34.472] [PSS] [debug] [5304|15032]streaming_driver_interface_impl.cpp:30 ~StreamingDriverInterfaceImpl: called, this= 0x1abca7d5070
[2024-03-29 23:34:34.473] [PSS] [debug] [5304|15032]transport_client_tcp2.cpp:71 Stop: called, this= 0x1aa19b3d420
[2024-03-29 23:34:34.473] [PSS] [debug] [5304|15032]streaming_driver_interface_impl.cpp:95 SetTrackingOrigin: tracking origin= FloorLevel, this= 0x1abcd69e7f0
[2024-03-29 23:34:34.473] [PSS] [debug] [5304|15032]streaming_driver_interface_impl.cpp:39 ConnectToService: try to connect to service, this= 0x1abcd69e7f0
[2024-03-29 23:34:34.473] [PSS] [error] [5304|11116]streaming_driver_interface_impl.cpp:572 InvokeSetTrackingOrigin: "invalid media session", !media_session_, this= 0x1abcd69e7f0
[2024-03-29 23:34:34.473] [PSS] [debug] [5304|11116]streaming_driver_interface_impl.cpp:469 InvokeConnectToService: connect to service through the network, port= 54000, this= 0x1abcd69e7f0
[2024-03-29 23:34:34.473] [PSS] [debug] [5304|11116]transport_client_tcp2.cpp:34 Start: buffer size(send\recv): 1048576\1048576, this= 0x1ab401a14c0
